name,reg_function,trainset_acc,testset_acc,r2score,conf_matrx,kaggle_acc
LogisticRegr_RegrImputationFun_Title,Survived = -0.25 + 6.99*Pclass + -0.60*Sex + -1.10*Age + -0.03*SibSp + -0.21*Parch + -0.04*Ticket + -0.00*Fare + 0.00*Embarked + -0.16*Title,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",75.6
MLPercep_RegrImputationFun_Title,,96.41,96.86,0.8484401588201929,"TN: 409, FP: 1, FN: 23, TP: 235",67.46
RandomForest_RegrImputationFun_Title,,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",78.47
XTree_RegrImputationFun_Title,,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",74.64
LogisticRegr_R_ImputationFun_Title,Survived = -0.31 + 6.98*Pclass + -0.50*Sex + -1.11*Age + -0.38*SibSp + -0.04*Parch + 0.11*Fare + -0.00*Embarked + -0.13*Title + -0.15*Has_Cabin + 0.05*FamilySize + -0.24*IsAlone,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",not_tested
MLPercep_R_ImputationFun_Title,NA,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",not_tested
RandomForest_R_ImputationFun_Title,NA,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",not_tested
XTree_R_ImputationFun_Title,NA,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",not_tested
Ensemble_1,NA,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",77.99
Ensemble_2,NA,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",77.51
Ensemble_3,NA,100.0,100.0,1.0,"TN: 410, FP: 0, FN: 0, TP: 258",77.99
